Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.27749013900757
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.992
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7770.594223351
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.125
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,88
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.04689002037048
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.65
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,34957.1613279737
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.491
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.2559967
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.62367021406169
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.25
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,30470.5219276023
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.992
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,100
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.71192127094005
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.265
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2716.48592780431
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.265
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,41.61650085
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.08538657806243
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.593
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,24393.2193483944
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.676
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.06359863
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.14000988006592
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.261
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7994.64806074889
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1033658536585
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.50733148
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.62823009490967
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.574
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,50639.0264882739
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.7487804878049
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.00783071
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.27611017227173
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.57
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,7068.21728043145
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.19
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.98329926
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.60415983200073
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.682
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1266.42711031904
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.475
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.53730011
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.0972642678305
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.685
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,119969.173269085
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.062
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.77583338857166
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3711.32767981591
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.754
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.35620117
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.46981980280053
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.947
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,4219.46113742445
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.434
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.62270355
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,7.57551002502441
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.552
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,7655.59421024383
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.777
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.8455371
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.97012986426524
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.657
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,8328.7090572666
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.749
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.9
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,23.615
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,9281.33334441234
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.872
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.52775094
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.61920976638794
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.231
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.177
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
British Virgin Islands,VGB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.48401807300907
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,36632.9280952155
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.917
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.97042579
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.191
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,13999.9113358453
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.1609756097561
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,79.12686326
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.50109004974365
Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.148
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,827.330843486661
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.7
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.3987999
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.29456753304241
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.828
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,301.832255755105
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.882
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.144800186
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.909
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,4323.31362032709
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.907
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,73.32740021
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.7252554800722
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.239
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2325.03050040841
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.528
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.49079895
Cambodia,KHM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.95793279576416
Cambodia,KHM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.245
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1604.87726954895
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.443
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.12559891
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.65952378267367
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.646
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,56496.9275340663
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.0948780487805
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,94
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.84426021575928
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.279
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,92937.8838323153
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.984
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.48894000053406
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,467.359825026238
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,18.818
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.75360012
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.11509129476365
Central African Republic,CAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.287
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,966.036468278568
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.528
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,11.17029953
Chad,TCD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.6016118897064
Chad,TCD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.081
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,67627.1417347907
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Channel Islands,CHI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Channel Islands,CHI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.923
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,15399.1044717559
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.176
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,92.31819916
Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.91201019287109
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.249
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12970.6056414327
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.202
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,75.61131603
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.98
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6680.44506854481
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.508
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.79637855
Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.541
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1533.87755393614
Comoros,COM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.481
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.37409973
Comoros,COM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.43164424110924
Comoros,COM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.879
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,687.738587554685
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.979
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.99620056
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.84466514463005
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.54
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2620.83804267402
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,40.98669815
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.72738253259215
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,20.131
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,13971.7649991294
Costa Rica,CRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.316
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.59801121
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.5472297668457
Costa Rica,CRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.325
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2333.37128301259
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.562
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.41328122
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.47484993934631
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.31
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,18465.531473659
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5756097560976
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.07155532
Croatia,HRV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Croatia,HRV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.811
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Cuba,CUB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.629
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.88410187
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,8.44086351669284
Cuba,CUB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.829
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,20057.1404960105
Curacao,CUW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.729
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,..
Curacao,CUW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.08167033605813
Curacao,CUW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,33231.05078125
Cyprus,CYP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.434
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.60099194
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.74210977554321
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.806
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,28282.2236715857
Czechia,CZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.9292682926829
Czechia,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.54009378
Czechia,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.30291986465454
Czechia,CZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.224
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,67781.0940939514
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.3048780487805
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.86011812
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.35586023330688
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.434
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3133.25779772463
Djibouti,DJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.54
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.77600098
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.272
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,9323.66089490562
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.081
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.57980347
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.04314243406571
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,10104.2464008585
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.211
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.51269675
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.61088872070271
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.504
